section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,Investors,956,1,0.1,string,"{""string"": 955}","[""1. ADARO STRATEGIC INVESTMENTS - Corporate - 41.1\n2. ALAMTRI RESOURCES INDONESIA TBK PT - Corporate - 15.37\n3. GARIBALDI THOHIR - Individual - 5.83\n4. SARATOGA INVESTAMA SEDAYA TBK PT - Corporate - 4.38\n5. EDWIN SOERYADJAYA - Individual - 3.52\n6. IR. T. PERMADI RACHMAT - Individual - 3.27\n7. SANDIAGA SALAHUDDIN UNO - Individual - 2.04\n8. PERSADA CAPITAL INVESTAMA - Corporate - 1.54\n9. FTAG INVESTMENT BANK LTD - Bank - 1.29\n10. PT TRINUGRAHA THOHIR - Corporate - 1.15"", ""1. PT ASTRA INTERNATIONAL TBK - Corporate - 79.68\n2. DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA - Insurance - 2.18"", ""1. PT. Beyond Media - Corporate - 40.47\n2. SOLIC KREASI BARU PT - Corporate - 13.77\n3. MEDIAHUIS IRELAND LIMITED - Unknown - 7.19\n4. DRS. WINARTO - Individual - 4.54\n5. YAYASAN ABDI BANGSA - Unknown - 2.83\n6. YAYASAN BINA SEJAHTERA WARGA BULOG - Unknown - 1.35\n7. KAIROS EKSPRES INTERNASIONAL PT - Corporate - 1.33\n8. PT.Grid One Media - Corporate - 1.11\n9. TJEN FOENG FA - Individual - 1.06\n10. PEARL HILL INVESTMENTS LTD - Bank - 1.02""]"
technical,Free Float,956,1,0.1,integer|number,"{""integer"": 8, ""number"": 947}","[20.51, 18.14, 25.33]"
technical,Classic HHI,956,1,0.1,integer,"{""integer"": 955}","[2011, 6354, 1915]"
technical,CR1,956,1,0.1,integer|number,"{""integer"": 83, ""number"": 872}","[41.1, 79.68, 40.47]"
technical,CR3,956,1,0.1,integer|number,"{""integer"": 17, ""number"": 938}","[62.3, 81.86, 61.43]"
technical,Total Investor >1%,956,0,0.0,integer,"{""integer"": 956}","[10, 2, 4]"
technical,CCS,956,1,0.1,integer,"{""integer"": 955}","[41, 76, 85]"
technical,Ownership Type,956,1,0.1,string,"{""string"": 955}","[""Oligopoli"", ""Mayoritas"", ""Terkonsentrasi""]"
technical,CCS Category,956,1,0.1,string,"{""string"": 955}","[""Sedang"", ""Tinggi"", ""Rendah""]"
technical,Market Cap,956,4,0.42,string,"{""string"": 952}","[""62.10 T"", ""11.88 T"", ""141.69 B""]"
technical,Market Cap Categories,956,4,0.42,string,"{""string"": 952}","[""Large Cap"", ""Small Cap"", ""Mid Cap""]"
technical,Liquidity Categories,956,0,0.0,string,"{""string"": 956}","[""High Liquidity"", ""Medium Liquidity"", ""Very Low Liquidity""]"
technical,Verdict Weight Profiles,956,0,0.0,string,"{""string"": 956}","[""Institutional Driven"", ""Low Liquidity / Small Cap"", ""Mid Cap / Moderate""]"
technical,Internal Trend,956,0,0.0,string,"{""string"": 956}","[""Bearish"", ""Bullish"", ""Neutral""]"
technical,Swing Trend,956,0,0.0,string,"{""string"": 956}","[""Bullish"", ""Bearish"", ""Neutral""]"
technical,Latest Internal Struct,956,5,0.52,string,"{""string"": 951}","[""Internal Bearish BOS"", ""Internal Bullish CHoCH"", ""Internal Bearish CHoCH""]"
technical,Latest Swing Struct,956,15,1.57,string,"{""string"": 941}","[""Swing Bullish BOS"", ""Swing Bearish CHoCH"", ""Swing Bullish CHoCH""]"
technical,Strong High,956,348,36.4,integer|number,"{""integer"": 603, ""number"": 5}","[8500, 97, 3190]"
technical,Weak High,956,608,63.6,integer|number,"{""integer"": 346, ""number"": 2}","[11800, 4760, 75]"
technical,Premium Zone,956,0,0.0,string,"{""string"": 956}","[""11548 - 11800"", ""8366 - 8500"", ""94 - 97""]"
technical,Strong Low,956,593,62.03,integer|number,"{""integer"": 361, ""number"": 2}","[6750, 2230, 50]"
technical,Weak Low,956,363,37.97,integer|number,"{""integer"": 591, ""number"": 2}","[5825, 29, 2120]"
technical,Discount Zone,956,0,0.0,string,"{""string"": 956}","[""6750 - 7002"", ""5825 - 5959"", ""29 - 32""]"
technical,Closest OB Bull,956,146,15.27,string,"{""string"": 810}","[""7350 - 7675"", ""5600 - 5800"", ""16 - 16""]"
technical,Equilibrium,956,0,0.0,string,"{""string"": 956}","[""9149 - 9401"", ""7096 - 7229"", ""61 - 65""]"
technical,Closest OB Bear,956,40,4.18,string,"{""string"": 916}","[""8300 - 8475"", ""6475 - 6875"", ""45 - 47""]"
technical,OB Bull Age (Days),956,146,15.27,integer,"{""integer"": 810}","[83, 225, 285]"
technical,OB Bear Age (Days),956,40,4.18,integer,"{""integer"": 916}","[7, 6, 29]"
technical,Summary,956,676,70.71,string,"{""string"": 280}","[""Price is on In Bear OB"", ""Price is on Discount"", ""Price is on In Bull OB""]"
technical,Lot,956,100,10.46,string,"{""string"": 856}","[""140.07 K"", ""23.29 K"", ""1.29 K""]"
technical,Value (Approx),956,100,10.46,string,"{""string"": 856}","[""110.91 B"", ""14.26 B"", ""4.63 M""]"
technical,Average Value 20 D (Approx),956,100,10.46,string,"{""string"": 856}","[""136.67 B"", ""23.71 B"", ""10.14 M""]"
technical,Volume,956,100,10.46,string,"{""string"": 856}","[""14.01 M"", ""2.33 M"", ""128.60 K""]"
technical,Average Volume 20 D,956,100,10.46,string,"{""string"": 856}","[""16.56 M"", ""3.54 M"", ""286.52 K""]"
technical,RVOL 20 D,956,100,10.46,number,"{""number"": 856}","[0.8456848283480056, 0.657691091077521, 0.4488264549341244]"
technical,RVOL 20 D Zone,956,100,10.46,string,"{""string"": 856}","[""Below 1.5"", ""Above 1.5""]"
technical,RVOL Change %,956,99,10.36,integer|number,"{""integer"": 2, ""number"": 855}","[0.1447265963510746, -0.2449499127629719, -0.6109435864062794]"
technical,RVOL Change Zone,956,99,10.36,string,"{""string"": 857}","[""RVOL ↑"", ""RVOL ↓"", ""RVOL ↓↓""]"
technical,ADR %,956,104,10.88,integer|number,"{""integer"": 8, ""number"": 844}","[4.366323331840573, 4.626951995373048, 3.174603174603174]"
technical,ATR (14) %,956,104,10.88,number,"{""number"": 852}","[5.368518335568949, 5.008766478137449, 4.842548957020036]"
technical,ADR & ATR (14) Zone,956,104,10.88,string,"{""string"": 852}","[""Above 3%"", ""Below 3%""]"
technical,IBH,956,113,11.82,integer,"{""integer"": 843}","[8425, 6875, 37]"
technical,IBL,956,113,11.82,integer,"{""integer"": 843}","[7850, 6475, 36]"
technical,vs IBL,956,113,11.82,string,"{""string"": 843}","[""Above"", ""Below"", ""At Level""]"
technical,PWH,956,110,11.51,integer,"{""integer"": 846}","[8425, 6875, 37]"
technical,PWL,956,110,11.51,integer,"{""integer"": 846}","[7400, 6100, 32]"
technical,vs PWL,956,110,11.51,string,"{""string"": 846}","[""Above"", ""Below"", ""At Level""]"
technical,MDH,956,151,15.79,integer,"{""integer"": 805}","[7725, 6300, 32]"
technical,MDL,956,151,15.79,integer,"{""integer"": 805}","[7000, 5900, 29]"
technical,vs MDL,956,151,15.79,string,"{""string"": 805}","[""Above"", ""Below"", ""At Level""]"
technical,MP Summary,956,109,11.4,string,"{""string"": 847}","[""IBL Above | PWL Above | MDL Above"", ""IBL Below | PWL Above | MDL Above"", ""IBL At Level | PWL Above | MDL Above""]"
technical,Current MVWAP (June 2026) · Running Days,956,100,10.46,integer,"{""integer"": 856}","[7, 5, 1]"
technical,Current MVWAP (June 2026) · 3 σ,956,108,11.3,number,"{""number"": 848}","[8581.184974733198, 7089.428772362203, 37.33485580095599]"
technical,Current MVWAP (June 2026) · 2 σ,956,108,11.3,number,"{""number"": 848}","[8342.777243215272, 6847.030451946301, 35.93386704144006]"
technical,Current MVWAP (June 2026) · 1 σ,956,108,11.3,number,"{""number"": 848}","[8104.369511697346, 6604.632131530398, 34.53287828192413]"
technical,Current MVWAP (June 2026) · VWAP,956,100,10.46,integer|number,"{""integer"": 8, ""number"": 848}","[7865.961780179419, 6362.233811114495, 33.13188952240819]"
technical,Current MVWAP (June 2026) · -1 σ,956,100,10.46,integer|number,"{""integer"": 8, ""number"": 848}","[7627.554048661493, 6119.835490698591, 31.73090076289226]"
technical,Current MVWAP (June 2026) · -2 σ,956,100,10.46,integer|number,"{""integer"": 8, ""number"": 848}","[7389.146317143567, 5877.437170282688, 30.32991200337633]"
technical,Current MVWAP (June 2026) · -3 σ,956,100,10.46,integer|number,"{""integer"": 8, ""number"": 848}","[7150.738585625641, 5635.038849866786, 28.9289232438604]"
technical,Current MVWAP (June 2026) · Price σ,956,100,10.46,integer|number,"{""integer"": 8, ""number"": 848}","[0.4573602505520338, -0.7724220646134923, 2.047204489051567]"
technical,Current MVWAP (June 2026) · Price σ Δ 1D,956,101,10.56,integer|number,"{""integer"": 7, ""number"": 848}","[0.3869349783183504, 0.6865274573064539, 0.4119788549365029]"
technical,Current MVWAP (June 2026) · VWAP Zone,956,100,10.46,string,"{""string"": 856}","[""Between +1 σ and VWAP"", ""Between VWAP and -1 σ"", ""Near +2 σ (0.18%)""]"
technical,Current MVWAP (June 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[2, 1, 3]"
technical,Previous MVWAP (May 2026) · Running Days,956,96,10.04,integer,"{""integer"": 860}","[16, 14, 12]"
technical,Previous MVWAP (May 2026) · 3 σ,956,97,10.15,number,"{""number"": 859}","[11286.32743622257, 8911.237040867043, 48.07112406933078]"
technical,Previous MVWAP (May 2026) · 2 σ,956,97,10.15,number,"{""number"": 859}","[10501.31521216549, 8306.637824490886, 44.91176032848436]"
technical,Previous MVWAP (May 2026) · 1 σ,956,97,10.15,number,"{""number"": 859}","[9716.302988108408, 7702.03860811473, 41.75239658763795]"
technical,Previous MVWAP (May 2026) · VWAP,956,96,10.04,integer|number,"{""integer"": 2, ""number"": 858}","[8931.290764051326, 7097.439391738573, 38.59303284679154]"
technical,Previous MVWAP (May 2026) · -1 σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[8146.278539994243, 6492.840175362417, 35.43366910594514]"
technical,Previous MVWAP (May 2026) · -2 σ,956,96,10.04,integer|number,"{""integer"": 2, ""number"": 858}","[7361.266315937161, 5888.240958986259, 32.27430536509873]"
technical,Previous MVWAP (May 2026) · -3 σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[6576.254091880079, 5283.641742610102, 29.11494162425231]"
technical,Previous MVWAP (May 2026) · Price σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[-1.218185825322625, -1.525703915508665, -0.8207452700893684]"
technical,Previous MVWAP (May 2026) · Price σ Δ 1D,956,97,10.15,integer|number,"{""integer"": 107, ""number"": 752}","[0.1273865513624517, 0.2480982375383631, 0.3165194267033319]"
technical,Previous MVWAP (May 2026) · VWAP Zone,956,96,10.04,string,"{""string"": 860}","[""Between -1 σ and -2 σ"", ""Between VWAP and -1 σ"", ""Between -2 σ and -3 σ""]"
technical,Previous MVWAP (May 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[6, 5, 1]"
technical,Current QVWAP (Q2 2026) · Running Days,956,90,9.41,integer,"{""integer"": 866}","[44, 42, 1]"
technical,Current QVWAP (Q2 2026) · 3 σ,956,92,9.62,number,"{""number"": 864}","[13254.25358636668, 9612.223698339512, 52.15306122397478]"
technical,Current QVWAP (Q2 2026) · 2 σ,956,92,9.62,number,"{""number"": 864}","[12025.51317449999, 8840.706058749813, 48.34061224669097]"
technical,Current QVWAP (Q2 2026) · 1 σ,956,92,9.62,number,"{""number"": 864}","[10796.77276263331, 8069.188419160115, 44.52816326940716]"
technical,Current QVWAP (Q2 2026) · VWAP,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[9568.032350766618, 7297.670779570416, 40.71571429212335]"
technical,Current QVWAP (Q2 2026) · -1 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[8339.29193889993, 6526.153139980717, 36.90326531483954]"
technical,Current QVWAP (Q2 2026) · -2 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[7110.551527033243, 5754.635500391018, 33.09081633755573]"
technical,Current QVWAP (Q2 2026) · -3 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[5881.811115166556, 4983.11786080132, 29.27836736027192]"
technical,Current QVWAP (Q2 2026) · Price σ,956,90,9.41,integer|number,"{""integer"": 2, ""number"": 864}","[-1.296475915809185, -1.455145964216015, -1.236925220565988]"
