section,field,row_count,missing_count,missing_percent,observed_types,type_counts,examples
technical,Investors,956,1,0.1,string,"{""string"": 955}","[""1. ADARO STRATEGIC INVESTMENTS - Corporate - 41.1\n2. ALAMTRI RESOURCES INDONESIA TBK PT - Corporate - 15.37\n3. GARIBALDI THOHIR - Individual - 5.83\n4. SARATOGA INVESTAMA SEDAYA TBK PT - Corporate - 4.38\n5. EDWIN SOERYADJAYA - Individual - 3.52\n6. IR. T. PERMADI RACHMAT - Individual - 3.27\n7. SANDIAGA SALAHUDDIN UNO - Individual - 2.04\n8. PERSADA CAPITAL INVESTAMA - Corporate - 1.54\n9. FTAG INVESTMENT BANK LTD - Bank - 1.29\n10. PT TRINUGRAHA THOHIR - Corporate - 1.15"", ""1. PT ASTRA INTERNATIONAL TBK - Corporate - 79.68\n2. DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA - Insurance - 2.18"", ""1. PT. Beyond Media - Corporate - 40.47\n2. SOLIC KREASI BARU PT - Corporate - 13.77\n3. MEDIAHUIS IRELAND LIMITED - Unknown - 7.19\n4. DRS. WINARTO - Individual - 4.54\n5. YAYASAN ABDI BANGSA - Unknown - 2.83\n6. YAYASAN BINA SEJAHTERA WARGA BULOG - Unknown - 1.35\n7. KAIROS EKSPRES INTERNASIONAL PT - Corporate - 1.33\n8. PT.Grid One Media - Corporate - 1.11\n9. TJEN FOENG FA - Individual - 1.06\n10. PEARL HILL INVESTMENTS LTD - Bank - 1.02""]"
technical,Free Float,956,1,0.1,integer|number,"{""integer"": 8, ""number"": 947}","[20.51, 18.14, 25.33]"
technical,Classic HHI,956,1,0.1,integer,"{""integer"": 955}","[2011, 6354, 1915]"
technical,CR1,956,1,0.1,integer|number,"{""integer"": 83, ""number"": 872}","[41.1, 79.68, 40.47]"
technical,CR3,956,1,0.1,integer|number,"{""integer"": 17, ""number"": 938}","[62.3, 81.86, 61.43]"
technical,Total Investor >1%,956,0,0.0,integer,"{""integer"": 956}","[10, 2, 4]"
technical,CCS,956,1,0.1,integer,"{""integer"": 955}","[41, 76, 85]"
technical,Ownership Type,956,1,0.1,string,"{""string"": 955}","[""Oligopoli"", ""Mayoritas"", ""Terkonsentrasi""]"
technical,CCS Category,956,1,0.1,string,"{""string"": 955}","[""Sedang"", ""Tinggi"", ""Rendah""]"
technical,Market Cap,956,4,0.42,string,"{""string"": 952}","[""62.68 T"", ""11.64 T"", ""137.76 B""]"
technical,Market Cap Categories,956,4,0.42,string,"{""string"": 952}","[""Large Cap"", ""Small Cap"", ""Mid Cap""]"
technical,Liquidity Categories,956,0,0.0,string,"{""string"": 956}","[""High Liquidity"", ""Medium Liquidity"", ""Very Low Liquidity""]"
technical,Verdict Weight Profiles,956,0,0.0,string,"{""string"": 956}","[""Institutional Driven"", ""Low Liquidity / Small Cap"", ""Mid Cap / Moderate""]"
technical,Internal Trend,956,0,0.0,string,"{""string"": 956}","[""Bearish"", ""Bullish"", ""Neutral""]"
technical,Swing Trend,956,0,0.0,string,"{""string"": 956}","[""Bullish"", ""Bearish"", ""Neutral""]"
technical,Latest Internal Struct,956,5,0.52,string,"{""string"": 951}","[""Internal Bearish BOS"", ""Internal Bullish CHoCH"", ""Internal Bearish CHoCH""]"
technical,Latest Swing Struct,956,15,1.57,string,"{""string"": 941}","[""Swing Bullish BOS"", ""Swing Bearish CHoCH"", ""Swing Bullish CHoCH""]"
technical,Strong High,956,347,36.3,integer|number,"{""integer"": 604, ""number"": 5}","[8500, 97, 3190]"
technical,Weak High,956,609,63.7,integer|number,"{""integer"": 345, ""number"": 2}","[11800, 4760, 75]"
technical,Premium Zone,956,0,0.0,string,"{""string"": 956}","[""11548 - 11800"", ""8366 - 8500"", ""94 - 97""]"
technical,Strong Low,956,594,62.13,integer|number,"{""integer"": 360, ""number"": 2}","[6750, 2230, 50]"
technical,Weak Low,956,362,37.87,integer|number,"{""integer"": 592, ""number"": 2}","[5825, 29, 2120]"
technical,Discount Zone,956,0,0.0,string,"{""string"": 956}","[""6750 - 7002"", ""5825 - 5959"", ""29 - 32""]"
technical,Closest OB Bull,956,146,15.27,string,"{""string"": 810}","[""7350 - 7675"", ""5600 - 5800"", ""16 - 16""]"
technical,Equilibrium,956,0,0.0,string,"{""string"": 956}","[""9149 - 9401"", ""7096 - 7229"", ""61 - 65""]"
technical,Closest OB Bear,956,41,4.29,string,"{""string"": 915}","[""8300 - 8475"", ""6475 - 6875"", ""45 - 47""]"
technical,OB Bull Age (Days),956,146,15.27,integer,"{""integer"": 810}","[84, 226, 286]"
technical,OB Bear Age (Days),956,41,4.29,integer,"{""integer"": 915}","[8, 7, 30]"
technical,Summary,956,672,70.29,string,"{""string"": 284}","[""Price is on In Bear OB"", ""Price is on Discount"", ""Price is on In Bull OB""]"
technical,Lot,956,100,10.46,string,"{""string"": 856}","[""179.72 K"", ""23.56 K"", ""5.32 K""]"
technical,Value (Approx),956,100,10.46,string,"{""string"": 856}","[""144.45 B"", ""14.49 B"", ""18.34 M""]"
technical,Average Value 20 D (Approx),956,100,10.46,string,"{""string"": 856}","[""136.27 B"", ""23.95 B"", ""8.99 M""]"
technical,Volume,956,100,10.46,string,"{""string"": 856}","[""17.97 M"", ""2.36 M"", ""531.60 K""]"
technical,Average Volume 20 D,956,100,10.46,string,"{""string"": 856}","[""16.63 M"", ""3.60 M"", ""258.75 K""]"
technical,RVOL 20 D,956,100,10.46,number,"{""number"": 856}","[1.080961601903981, 0.6545617200859598, 2.054492753623189]"
technical,RVOL 20 D Zone,956,100,10.46,string,"{""string"": 856}","[""Below 1.5"", ""Above 1.5""]"
technical,RVOL Change %,956,101,10.56,integer|number,"{""integer"": 2, ""number"": 853}","[0.2782085780296834, -0.00475811674206232, 3.577476953591633]"
technical,RVOL Change Zone,956,101,10.56,string,"{""string"": 855}","[""RVOL ↑"", ""RVOL ↓"", ""RVOL ↑↑""]"
technical,ADR %,956,104,10.88,integer|number,"{""integer"": 11, ""number"": 841}","[4.259094942324756, 4.634002361275088, 3.061224489795918]"
technical,ATR (14) %,956,104,10.88,number,"{""number"": 852}","[5.204801583319528, 5.10128369577903, 5.033291656908932]"
technical,ADR & ATR (14) Zone,956,104,10.88,string,"{""string"": 852}","[""Above 3%"", ""Below 3%""]"
technical,IBH,956,113,11.82,integer,"{""integer"": 843}","[8425, 6875, 37]"
technical,IBL,956,113,11.82,integer,"{""integer"": 843}","[7850, 6475, 36]"
technical,vs IBL,956,113,11.82,string,"{""string"": 843}","[""Above"", ""Below"", ""At Level""]"
technical,PWH,956,110,11.51,integer,"{""integer"": 846}","[8425, 6875, 37]"
technical,PWL,956,110,11.51,integer,"{""integer"": 846}","[7400, 6100, 32]"
technical,vs PWL,956,110,11.51,string,"{""string"": 846}","[""Above"", ""Below"", ""At Level""]"
technical,MDH,956,151,15.79,integer,"{""integer"": 805}","[7725, 6300, 32]"
technical,MDL,956,151,15.79,integer,"{""integer"": 805}","[7000, 5900, 29]"
technical,vs MDL,956,151,15.79,string,"{""string"": 805}","[""Above"", ""At Level"", ""Below""]"
technical,MP Summary,956,109,11.4,string,"{""string"": 847}","[""IBL Above | PWL Above | MDL Above"", ""IBL Below | PWL Below | MDL Above"", ""IBL Below | PWL Above | MDL Above""]"
technical,Current MVWAP (June 2026) · Running Days,956,99,10.36,integer,"{""integer"": 857}","[8, 5, 2]"
technical,Current MVWAP (June 2026) · 3 σ,956,107,11.19,number,"{""number"": 849}","[8579.238234847777, 7060.42090642213, 37.54237739428368]"
technical,Current MVWAP (June 2026) · 2 σ,956,107,11.19,number,"{""number"": 849}","[8349.346314709113, 6820.865831067506, 36.17270343052419]"
technical,Current MVWAP (June 2026) · 1 σ,956,107,11.19,number,"{""number"": 849}","[8119.454394570452, 6581.310755712882, 34.80302946676471]"
technical,Current MVWAP (June 2026) · VWAP,956,99,10.36,integer|number,"{""integer"": 8, ""number"": 849}","[7889.56247443179, 6341.755680358258, 33.43335550300522]"
technical,Current MVWAP (June 2026) · -1 σ,956,99,10.36,integer|number,"{""integer"": 8, ""number"": 849}","[7659.670554293129, 6102.200605003634, 32.06368153924574]"
technical,Current MVWAP (June 2026) · -2 σ,956,99,10.36,integer|number,"{""integer"": 8, ""number"": 849}","[7429.778634154466, 5862.64552964901, 30.69400757548626]"
technical,Current MVWAP (June 2026) · -3 σ,956,99,10.36,integer|number,"{""integer"": 8, ""number"": 849}","[7199.886714015805, 5623.090454294386, 29.32433361172678]"
technical,Current MVWAP (June 2026) · Price σ,956,99,10.36,integer|number,"{""integer"": 8, ""number"": 849}","[0.6978824026152816, -1.217906487376064, 1.143808335740462]"
technical,Current MVWAP (June 2026) · Price σ Δ 1D,956,100,10.46,integer|number,"{""integer"": 7, ""number"": 849}","[0.2405221520632478, -0.4454844227625718, -0.9033961533111057]"
technical,Current MVWAP (June 2026) · VWAP Zone,956,99,10.36,string,"{""string"": 857}","[""Between +1 σ and VWAP"", ""Between -1 σ and -2 σ"", ""Between +2 σ and +1 σ""]"
technical,Current MVWAP (June 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[2, 1, 3]"
technical,Previous MVWAP (May 2026) · Running Days,956,96,10.04,integer,"{""integer"": 860}","[16, 14, 12]"
technical,Previous MVWAP (May 2026) · 3 σ,956,97,10.15,number,"{""number"": 859}","[11286.32743622257, 8911.237040867043, 48.07112406933078]"
technical,Previous MVWAP (May 2026) · 2 σ,956,97,10.15,number,"{""number"": 859}","[10501.31521216549, 8306.637824490886, 44.91176032848436]"
technical,Previous MVWAP (May 2026) · 1 σ,956,97,10.15,number,"{""number"": 859}","[9716.302988108408, 7702.03860811473, 41.75239658763795]"
technical,Previous MVWAP (May 2026) · VWAP,956,96,10.04,integer|number,"{""integer"": 2, ""number"": 858}","[8931.290764051326, 7097.439391738573, 38.59303284679154]"
technical,Previous MVWAP (May 2026) · -1 σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[8146.278539994243, 6492.840175362417, 35.43366910594514]"
technical,Previous MVWAP (May 2026) · -2 σ,956,96,10.04,integer|number,"{""integer"": 2, ""number"": 858}","[7361.266315937161, 5888.240958986259, 32.27430536509873]"
technical,Previous MVWAP (May 2026) · -3 σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[6576.254091880079, 5283.641742610102, 29.11494162425231]"
technical,Previous MVWAP (May 2026) · Price σ,956,96,10.04,integer|number,"{""integer"": 1, ""number"": 859}","[-1.122645911800786, -1.732452446790634, -1.1372646967927]"
technical,Previous MVWAP (May 2026) · Price σ Δ 1D,956,97,10.15,integer|number,"{""integer"": 143, ""number"": 716}","[0.09553991352183888, -0.2067485312819695, -0.3165194267033319]"
technical,Previous MVWAP (May 2026) · VWAP Zone,956,96,10.04,string,"{""string"": 860}","[""Near -1 σ (1.18%)"", ""Between -1 σ and -2 σ"", ""Near -2 σ (1.17%)""]"
technical,Previous MVWAP (May 2026) · VWAP Zone Days,956,0,0.0,integer,"{""integer"": 956}","[7, 6, 1]"
technical,Current QVWAP (Q2 2026) · Running Days,956,90,9.41,integer,"{""integer"": 866}","[45, 43, 42]"
technical,Current QVWAP (Q2 2026) · 3 σ,956,92,9.62,number,"{""number"": 864}","[13240.06635845032, 9616.053888017897, 52.19735805470667]"
technical,Current QVWAP (Q2 2026) · 2 σ,956,92,9.62,number,"{""number"": 864}","[12005.31222137852, 8836.269467754879, 48.32317498398406]"
technical,Current QVWAP (Q2 2026) · 1 σ,956,92,9.62,number,"{""number"": 864}","[10770.55808430671, 8056.48504749186, 44.44899191326145]"
technical,Current QVWAP (Q2 2026) · VWAP,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[9535.803947234906, 7276.700627228842, 40.57480884253884]"
technical,Current QVWAP (Q2 2026) · -1 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[8301.049810163102, 6496.916206965823, 36.70062577181623]"
technical,Current QVWAP (Q2 2026) · -2 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[7066.295673091297, 5717.131786702806, 32.82644270109363]"
technical,Current QVWAP (Q2 2026) · -3 σ,956,90,9.41,integer|number,"{""integer"": 1, ""number"": 865}","[5831.541536019494, 4937.347366439787, 28.95225963037101]"
technical,Current QVWAP (Q2 2026) · Price σ,956,90,9.41,integer|number,"{""integer"": 2, ""number"": 864}","[-1.203319675250056, -1.573127899650881, -1.438963709450889]"
